Variable,Table,Group,SubGroup,Series,CoVaTrA,Cohort,Definition,Extended Source Defn,Units,CURRENCY,Years,Source,Original Source,Notes,Last IFs Update,Aggregation,Disaggregation,TreatNullsAs0s,Proprietary,Name in Source,UsedInPreprocessor,UsedInPreprocessorFileName,CompareOtherForecast,Code in Source,Decimal Places,Country Concordance,Formula,DisplayNotes
WSSJMPSanitationTotal%AtLeastBasic,SeriesWSSJMPSanitationTotal%AtLeastBasic,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with at least basic facilities (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_bas_n,4,WSS JMP,,
WSSJMPSanitationRural%AtLeastBasic,SeriesWSSJMPSanitationRural%AtLeastBasic,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with at least basic facilities (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_bas_r,4,WSS JMP,,
WSSJMPSanitationUrban%AtLeastBasic,SeriesWSSJMPSanitationUrban%AtLeastBasic,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with at least basic facilities (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_bas_u,4,WSS JMP,,
WSSJMPSanitationTotal%Limited,SeriesWSSJMPSanitationTotal%Limited,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with limited facilities (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_n,4,WSS JMP,,
WSSJMPSanitationTotal%Shared,SeriesWSSJMPSanitationTotal%Shared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with Shared Sanitation (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,1,INFRASTRUCTURE,0,san_lim_n,4,WSS JMP,,
WSSJMPSanitationTotalPopShared,SeriesWSSJMPSanitationTotalPopShared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Total population served with Shared Sanitation,Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_lim_n_pop,3,WSS JMP,/1000,
WSSJMPSanitationRural%Limited,SeriesWSSJMPSanitationRural%Limited,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with limited facilities (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_r,4,WSS JMP,,
WSSJMPSanitationRural%Shared,SeriesWSSJMPSanitationRural%Shared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with Shared Sanitation (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_r,4,WSS JMP,,
WSSJMPSanitationRuralPopShared,SeriesWSSJMPSanitationRuralPopShared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Rural population served with Shared Sanitation,Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_lim_r_pop,3,WSS JMP,/1000,
WSSJMPSanitationUrban%Limited,SeriesWSSJMPSanitationUrban%Limited,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with limited facilities (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_u,4,WSS JMP,,
WSSJMPSanitationUrban%Shared,SeriesWSSJMPSanitationUrban%Shared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with Shared Sanitation (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_u,4,WSS JMP,,
WSSJMPSanitationUrbanPopShared,SeriesWSSJMPSanitationUrbanPopShared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Urban population served with Shared Sanitation,Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_lim_u_pop,3,WSS JMP,/1000,
WSSJMPSanitationTotal%OpenDefecation,SeriesWSSJMPSanitationTotal%OpenDefecation,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with open defecation facilities (%),"Disposal of human faeces in fields, forests, bushes, open bodies of water, beaches and other open spaces or with solid waste",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,1,"ECONOMY, INFRASTRUCTURE",0,san_od_n,4,WSS JMP,,
WSSJMPSanitationTotalPopOpenDefecation,SeriesWSSJMPSanitationTotalPopOpenDefecation,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Total population served with Open Defecation Sanitation,"Disposal of human faeces in fields, forests, bushes, open bodies of water, beaches and other open spaces or with solid waste",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_od_n_pop,3,WSS JMP,/1000,
WSSJMPSanitationRural%OpenDefecation,SeriesWSSJMPSanitationRural%OpenDefecation,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with open defecation facilities (%),"Disposal of human faeces in fields, forests, bushes, open bodies of water, beaches and other open spaces or with solid waste",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_od_r,4,WSS JMP,,
WSSJMPSanitationRuralPopOpenDefecation,SeriesWSSJMPSanitationRuralPopOpenDefecation,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Rural population served with Open Defecation Sanitation,"Disposal of human faeces in fields, forests, bushes, open bodies of water, beaches and other open spaces or with solid waste",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_od_r_pop,3,WSS JMP,/1000,
WSSJMPSanitationUrban%OpenDefecation,SeriesWSSJMPSanitationUrban%OpenDefecation,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with open defecation facilities (%),"Disposal of human faeces in fields, forests, bushes, open bodies of water, beaches and other open spaces or with solid waste",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_od_u,4,WSS JMP,,
WSSJMPSanitationUrbanPopOpenDefecation,SeriesWSSJMPSanitationUrbanPopOpenDefecation,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Urban population served with Open Defecation Sanitation,"Disposal of human faeces in fields, forests, bushes, open bodies of water, beaches and other open spaces or with solid waste",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_od_u_pop,3,WSS JMP,/1000,
WSSJMPSanitationTotal%SafelyManaged,SeriesWSSJMPSanitationTotal%SafelyManaged,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with safely managed facilities (%),Use of improved facilities that are not shared with other households and where excreta are safely disposed of in situ or removed and treated offsite,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_sm_n,4,WSS JMP,,
WSSJMPSanitationRural%SafelyManaged,SeriesWSSJMPSanitationRural%SafelyManaged,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with safely managed facilities (%),Use of improved facilities that are not shared with other households and where excreta are safely disposed of in situ or removed and treated offsite,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_sm_r,4,WSS JMP,,
WSSJMPSanitationUrban%SafelyManaged,SeriesWSSJMPSanitationUrban%SafelyManaged,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with safely managed facilities (%),Use of improved facilities that are not shared with other households and where excreta are safely disposed of in situ or removed and treated offsite,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_sm_u,4,WSS JMP,,
WSSJMPSanitationTotal%OtherUnimproved,SeriesWSSJMPSanitationTotal%OtherUnimproved,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population with Unimproved Sanitation (%),"do not ensure hygenic separation of human excreta from human contact. Unimproved facilities include pit latrines without a slab or platform, hanging latrines or bucket latrines",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,1,"ECONOMY, INFRASTRUCTURE",0,san_unimp_n,4,WSS JMP,,
WSSJMPSanitationTotalPopOtherUnimproved,SeriesWSSJMPSanitationTotalPopOtherUnimproved,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Total population with Unimproved Sanitation,"do not ensure hygenic separation of human excreta from human contact. Unimproved facilities include pit latrines without a slab or platform, hanging latrines or bucket latrines",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_unimp_n_pop,3,WSS JMP,/1000,
WSSJMPSanitationRural%OtherUnimproved,SeriesWSSJMPSanitationRural%OtherUnimproved,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population with Unimproved Sanitation (%),"do not ensure hygenic separation of human excreta from human contact. Unimproved facilities include pit latrines without a slab or platform, hanging latrines or bucket latrines",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_unimp_r,4,WSS JMP,,
WSSJMPSanitationRuralPopOtherUnimproved,SeriesWSSJMPSanitationRuralPopOtherUnimproved,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Rural population with Unimproved Sanitation,"do not ensure hygenic separation of human excreta from human contact. Unimproved facilities include pit latrines without a slab or platform, hanging latrines or bucket latrines",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_unimp_r_pop,3,WSS JMP,/1000,
WSSJMPSanitationUrban%OtherUnimproved,SeriesWSSJMPSanitationUrban%OtherUnimproved,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population with Unimproved Sanitation (%),"do not ensure hygenic separation of human excreta from human contact. Unimproved facilities include pit latrines without a slab or platform, hanging latrines or bucket latrines",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_unimp_u,4,WSS JMP,,
WSSJMPSanitationUrbanPopOtherUnimproved,SeriesWSSJMPSanitationUrbanPopOtherUnimproved,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Urban population with Unimproved Sanitation,"do not ensure hygenic separation of human excreta from human contact. Unimproved facilities include pit latrines without a slab or platform, hanging latrines or bucket latrines",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_unimp_u_pop,3,WSS JMP,/1000,
WSSJMPWaterTotal%SMAsNeeded,SeriesWSSJMPWaterTotal%SMAsNeeded,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with available when needed improved drinking water (%),From an improved water source that is vailable when needed,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_available_n,4,WSS JMP,,
WSSJMPWaterRural%SMAsNeeded,SeriesWSSJMPWaterRural%SMAsNeeded,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with available when needed improved drinking water (%),From an improved water source that is vailable when needed,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_available_r,4,WSS JMP,,
WSSJMPWaterUrban%SMAsNeeded,SeriesWSSJMPWaterUrban%SMAsNeeded,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with available when needed improved drinking water (%),From an improved water source that is vailable when needed,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_available_u,4,WSS JMP,,
WSSJMPWaterTotal%AtLeastBasic,SeriesWSSJMPWaterTotal%AtLeastBasic,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with at least basic drinking water (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_bas_n,4,WSS JMP,,
WSSJMPWaterRural%AtLeastBasic,SeriesWSSJMPWaterRural%AtLeastBasic,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with at least basic drinking water (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_bas_r,4,WSS JMP,,
WSSJMPWaterUrban%AtLeastBasic,SeriesWSSJMPWaterUrban%AtLeastBasic,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with at least basic drinking water (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_bas_u,4,WSS JMP,,
WSSJMPSanitationTotal%SMEmpTreated,SeriesWSSJMPSanitationTotal%SMEmpTreated,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with safely managed facilities (%) that are emptied and treated,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_fst_sm_n,4,WSS JMP,,
WSSJMPSanitationRural%SMEmpTreated,SeriesWSSJMPSanitationRural%SMEmpTreated,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with safely managed facilities (%) that are emptied and treated,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_fst_sm_r,4,WSS JMP,,
WSSJMPSanitationUrban%SMEmpTreated,SeriesWSSJMPSanitationUrban%SMEmpTreated,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with safely managed facilities (%) that are emptied and treated,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_fst_sm_u,4,WSS JMP,,
WSSJMPWaterTotal%Limited,SeriesWSSJMPWaterTotal%Limited,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with limited drinking water (%),Drinking water from an improved source for which collection time exceeds 30 minutes for a roundtrip including queuing,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_lim_n,4,WSS JMP,,
WSSJMPWaterRural%Limited,SeriesWSSJMPWaterRural%Limited,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with limited drinking water (%),Drinking water from an improved source for which collection time exceeds 30 minutes for a roundtrip including queuing,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_lim_r,4,WSS JMP,,
WSSJMPWaterUrban%Limited,SeriesWSSJMPWaterUrban%Limited,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with limited drinking water (%),Drinking water from an improved source for which collection time exceeds 30 minutes for a roundtrip including queuing,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_lim_u,4,WSS JMP,,
WSSJMPWaterTotal%Piped,SeriesWSSJMPWaterTotal%Piped,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with Piped Water (%),"Piped household water connection located inside the user's dwelling, plot or yard",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,1,INFRASTRUCTURE,0,wat_pip_n,4,WSS JMP,,
WSSJMPWaterTotalPopPiped,SeriesWSSJMPWaterTotalPopPiped,"Infrastructure, Water, Health",Water Access,Yes,No,No,Total population served with Piped Water,"Piped household water connection located inside the user's dwelling, plot or yard",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,wat_pip_n_pop,3,WSS JMP,/1000,
WSSJMPWaterRural%Piped,SeriesWSSJMPWaterRural%Piped,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with Piped Water (%),"Piped household water connection located inside the user's dwelling, plot or yard",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_pip_r,4,WSS JMP,,
WSSJMPWaterRuralPopPiped,SeriesWSSJMPWaterRuralPopPiped,"Infrastructure, Water, Health",Water Access,Yes,No,No,Rural population served with Piped Water,"Piped household water connection located inside the user's dwelling, plot or yard",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,wat_pip_r_pop,3,WSS JMP,/1000,
WSSJMPWaterUrban%Piped,SeriesWSSJMPWaterUrban%Piped,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with Piped Water (%),"Piped household water connection located inside the user's dwelling, plot or yard",Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_pip_u,4,WSS JMP,,
WSSJMPWaterUrbanPopPiped,SeriesWSSJMPWaterUrbanPopPiped,"Infrastructure, Water, Health",Water Access,Yes,No,No,Urban population served with Piped Water,"Piped household water connection located inside the user's dwelling, plot or yard",Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,wat_pip_u_pop,3,WSS JMP,/1000,
WSSJMPWaterTotal%SMOnPremise,SeriesWSSJMPWaterTotal%SMOnPremise,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with accessible on premises improved drinking water (%),From an improved water source that is accessible on premises,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_premises_n,4,WSS JMP,,
WSSJMPWaterRural%SMOnPremise,SeriesWSSJMPWaterRural%SMOnPremise,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with accessible on premises improved drinking water (%),From an improved water source that is accessible on premises,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_premises_r,4,WSS JMP,,
WSSJMPWaterUrban%SMOnPremise,SeriesWSSJMPWaterUrban%SMOnPremise,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with accessible on premises improved drinking water (%),From an improved water source that is accessible on premises,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_premises_u,4,WSS JMP,,
WSSJMPWaterTotal%SMNotContam,SeriesWSSJMPWaterTotal%SMNotContam,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with free from contamination improved drinking water (%),From an improved water source that is free from faecal and priority chemical contamination,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_quality_n,4,WSS JMP,,
WSSJMPWaterRural%SMNotContam,SeriesWSSJMPWaterRural%SMNotContam,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with free from contamination improved drinking water (%),From an improved water source that is free from faecal and priority chemical contamination,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_quality_r,4,WSS JMP,,
WSSJMPWaterUrban%SMNotContam,SeriesWSSJMPWaterUrban%SMNotContam,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with free from contamination improved drinking water (%),From an improved water source that is free from faecal and priority chemical contamination,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_quality_u,4,WSS JMP,,
WSSJMPSanitationTotal%SMDisposedInsitu,SeriesWSSJMPSanitationTotal%SMDisposedInsitu,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with safely managed facilities (%) that are disposed in situ,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_sdo_sm_n,4,WSS JMP,,
WSSJMPSanitationRural%SMDisposedInsitu,SeriesWSSJMPSanitationRural%SMDisposedInsitu,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with safely managed facilities (%) that are disposed in situ,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_sdo_sm_r,4,WSS JMP,,
WSSJMPSanitationUrban%SMDisposedInsitu,SeriesWSSJMPSanitationUrban%SMDisposedInsitu,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with safely managed facilities (%) that are disposed in situ,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_sdo_sm_u,4,WSS JMP,,
WSSJMPSanitationTotal%SMWastewaterTreated,SeriesWSSJMPSanitationTotal%SMWastewaterTreated,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Total population served with safely managed facilities (%) that are wastewater treated,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_sew_sm_n,4,WSS JMP,,
WSSJMPSanitationRural%SMWastewaterTreated,SeriesWSSJMPSanitationRural%SMWastewaterTreated,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Rural population served with safely managed facilities (%) that are wastewater treated,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_sew_sm_r,4,WSS JMP,,
WSSJMPSanitationUrban%SMWastewaterTreated,SeriesWSSJMPSanitationUrban%SMWastewaterTreated,"Infrastructure, Water, Health",Water Access,Yes,No,No,Proportion of Urban population served with safely managed facilities (%) that are wastewater treated,Safely managed = disposed in situ + emptied and treated + wastewater and treated,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,wat_sew_sm_u,4,WSS JMP,,
